"Probe_ID","Paper_DML","DeltaBeta_Heavy_minus_Light","Direction","Chromosome","Position","Human_chr","Human_start","Human_end"
"cg29253316_TC11","Obese_UP",0.0509439947600667,"Higher_methylation_in_Heavy","chr11",12037746,"chr7",50793832,50793833
"cg37195538_BC11","Obese_UP",0.057129732945102,"Higher_methylation_in_Heavy","chr1",88277678,"chr2",233854768,233854769
"cg38973104_BC11","Obese_UP",0.0532726761900073,"Higher_methylation_in_Heavy","chr2",131561826,"chr20",4248597,4248598
"cg39121153_BC11","Obese_UP",0.0772860466572989,"Higher_methylation_in_Heavy","chr2",152687094,"chr20",31547321,31547322
"cg39121155_TC21","Obese_UP",0.072118954686398,"Higher_methylation_in_Heavy","chr2",152687133,"chr20",31547359,31547360
"cg39158863_TC11","Obese_UP",0.0535243935531885,"Higher_methylation_in_Heavy","chr2",156144106,"chr20",35699278,35699279
"cg39382619_BC11","Obese_UP",0.0805519197354545,"Higher_methylation_in_Heavy","chr2",174298572,"chr20",58853970,58853971
"cg44211895_TC11","Obese_UP",0.0511678133713147,"Higher_methylation_in_Heavy","chr7",6729683,"chr19",56840018,56840019
"cg44313145_BC21","Obese_UP",0.0963693818358272,"Higher_methylation_in_Heavy","chr7",24082064,"chr19",44500451,44500452
"cg44313157_BC11","Obese_UP",0.104998999512525,"Higher_methylation_in_Heavy","chr7",24082203,"chr19",44500309,44500310
"cg45285146_TC21","Obese_UP",0.0526106953300659,"Higher_methylation_in_Heavy","chr7",142581780,"chr11",2003009,2003010
"cg45290643_BC21","Obese_UP",0.0929003421538924,"Higher_methylation_in_Heavy","chr7",143295788,"chr11",2699364,2699365
"cg45290644_BC11","Obese_UP",0.0942742888231685,"Higher_methylation_in_Heavy","chr7",143295798,"chr11",2699374,2699375
"cg45290647_BC21","Obese_UP",0.0955114866492172,"Higher_methylation_in_Heavy","chr7",143295858,"chr11",2699447,2699448
"cg45290648_TC21","Obese_UP",0.107660449100376,"Higher_methylation_in_Heavy","chr7",143295871,"chr11",2699455,2699456
"cg45290657_TC21","Obese_UP",0.0699155287470296,"Higher_methylation_in_Heavy","chr7",143296048,"chr11",2699580,2699581
"cg45820004_BC11","Obese_UP",0.0538762643980763,"Higher_methylation_in_Heavy","chr8",70892439,"chr19",17872541,17872542
"cg46030168_TC11","Obese_UP",0.0507412987197519,"Higher_methylation_in_Heavy","chr8",94913554,"chr16",57529067,57529068
