"Probe_ID","Number_of_hg38_mappings","Mapping_status"
"cg29253316_TC11",1,"Unique"
"cg31119462_TC21",0,"Unmapped"
"cg31119463_TC21",0,"Unmapped"
"cg31119465_BC21",0,"Unmapped"
"cg31119469_BC21",0,"Unmapped"
"cg33469142_BC11",0,"Unmapped"
"cg33469144_BC11",0,"Unmapped"
"cg33469160_BC11",0,"Unmapped"
"cg33469165_TC11",0,"Unmapped"
"cg37195538_BC11",1,"Unique"
"cg37777811_BC11",0,"Unmapped"
"cg38973104_BC11",1,"Unique"
"cg39121124_TC21",0,"Unmapped"
"cg39121126_BC21",0,"Unmapped"
"cg39121127_BC21",0,"Unmapped"
"cg39121153_BC11",1,"Unique"
"cg39121155_TC21",1,"Unique"
"cg39158863_TC11",1,"Unique"
"cg39382619_BC11",1,"Unique"
"cg44211895_TC11",1,"Unique"
"cg44313145_BC21",1,"Unique"
"cg44313157_BC11",1,"Unique"
"cg45285143_BC21",0,"Unmapped"
"cg45285146_TC21",1,"Unique"
"cg45290643_BC21",1,"Unique"
"cg45290644_BC11",1,"Unique"
"cg45290647_BC21",1,"Unique"
"cg45290648_TC21",1,"Unique"
"cg45290657_TC21",1,"Unique"
"cg45820004_BC11",1,"Unique"
"cg46030168_TC11",1,"Unique"
