"Probe_ID","Paper_DML","DeltaBeta_Heavy_minus_Light","Direction","Chromosome","Position","Human_chr","Human_start","Human_end","H3K9me3_exact_overlap","Distance_to_nearest_H3K9me3_bp","ATAC_exact_overlap","Overlapping_ATAC_peaks","Nearest_ATAC_peak","Distance_to_nearest_ATAC_peak_bp","H3K9me3_within_1kb","Chromatin_context"
"cg29253316_TC11","Obese_UP",0.0509439947600667,"Higher_methylation_in_Heavy","chr11",12037746,"chr7",50793832,50793833,FALSE,4217,TRUE,"chr7:50793058-50793904","chr7:50793058-50793904",0,FALSE,"ATAC_overlap_only"
"cg37195538_BC11","Obese_UP",0.057129732945102,"Higher_methylation_in_Heavy","chr1",88277678,"chr2",233854768,233854769,FALSE,1292,TRUE,"chr2:233854184-233855083","chr2:233854184-233855083",0,FALSE,"ATAC_overlap_only"
"cg38973104_BC11","Obese_UP",0.0532726761900073,"Higher_methylation_in_Heavy","chr2",131561826,"chr20",4248597,4248598,FALSE,3188,FALSE,NA,"chr20:4221085-4221973",26623,FALSE,"Neither"
"cg39121153_BC11","Obese_UP",0.0772860466572989,"Higher_methylation_in_Heavy","chr2",152687094,"chr20",31547321,31547322,FALSE,38247,TRUE,"chr20:31546850-31547735","chr20:31546850-31547735",0,FALSE,"ATAC_overlap_only"
"cg39121155_TC21","Obese_UP",0.072118954686398,"Higher_methylation_in_Heavy","chr2",152687133,"chr20",31547359,31547360,FALSE,38285,TRUE,"chr20:31546850-31547735","chr20:31546850-31547735",0,FALSE,"ATAC_overlap_only"
"cg39158863_TC11","Obese_UP",0.0535243935531885,"Higher_methylation_in_Heavy","chr2",156144106,"chr20",35699278,35699279,FALSE,1283,TRUE,"chr20:35698930-35699860","chr20:35698930-35699860",0,FALSE,"ATAC_overlap_only"
"cg39382619_BC11","Obese_UP",0.0805519197354545,"Higher_methylation_in_Heavy","chr2",174298572,"chr20",58853970,58853971,FALSE,11354,FALSE,NA,"chr20:58850532-58851397",2572,FALSE,"Neither"
"cg44211895_TC11","Obese_UP",0.0511678133713147,"Higher_methylation_in_Heavy","chr7",6729683,"chr19",56840018,56840019,FALSE,654,FALSE,NA,"chr19:56838729-56840010",7,TRUE,"Near_H3K9me3_only"
"cg44313145_BC21","Obese_UP",0.0963693818358272,"Higher_methylation_in_Heavy","chr7",24082064,"chr19",44500451,44500452,FALSE,383,TRUE,"chr19:44500020-44500936","chr19:44500020-44500936",0,TRUE,"ATAC_overlap_and_near_H3K9me3"
"cg44313157_BC11","Obese_UP",0.104998999512525,"Higher_methylation_in_Heavy","chr7",24082203,"chr19",44500309,44500310,FALSE,241,TRUE,"chr19:44500020-44500936","chr19:44500020-44500936",0,TRUE,"ATAC_overlap_and_near_H3K9me3"
"cg45285146_TC21","Obese_UP",0.0526106953300659,"Higher_methylation_in_Heavy","chr7",142581780,"chr11",2003009,2003010,TRUE,0,FALSE,NA,"chr11:1946787-1947675",55333,TRUE,"Near_H3K9me3_only"
"cg45290643_BC21","Obese_UP",0.0929003421538924,"Higher_methylation_in_Heavy","chr7",143295788,"chr11",2699364,2699365,FALSE,657,FALSE,NA,"chr11:2699761-2700571",395,TRUE,"Near_H3K9me3_only"
"cg45290644_BC11","Obese_UP",0.0942742888231685,"Higher_methylation_in_Heavy","chr7",143295798,"chr11",2699374,2699375,FALSE,667,FALSE,NA,"chr11:2699761-2700571",385,TRUE,"Near_H3K9me3_only"
"cg45290647_BC21","Obese_UP",0.0955114866492172,"Higher_methylation_in_Heavy","chr7",143295858,"chr11",2699447,2699448,FALSE,740,FALSE,NA,"chr11:2699761-2700571",312,TRUE,"Near_H3K9me3_only"
"cg45290648_TC21","Obese_UP",0.107660449100376,"Higher_methylation_in_Heavy","chr7",143295871,"chr11",2699455,2699456,FALSE,748,FALSE,NA,"chr11:2699761-2700571",304,TRUE,"Near_H3K9me3_only"
"cg45290657_TC21","Obese_UP",0.0699155287470296,"Higher_methylation_in_Heavy","chr7",143296048,"chr11",2699580,2699581,FALSE,873,FALSE,NA,"chr11:2699761-2700571",179,TRUE,"Near_H3K9me3_only"
"cg45820004_BC11","Obese_UP",0.0538762643980763,"Higher_methylation_in_Heavy","chr8",70892439,"chr19",17872541,17872542,FALSE,6967,FALSE,NA,"chr19:17873924-17874751",1381,FALSE,"Neither"
"cg46030168_TC11","Obese_UP",0.0507412987197519,"Higher_methylation_in_Heavy","chr8",94913554,"chr16",57529067,57529068,FALSE,11577,TRUE,"chr16:57528367-57529268","chr16:57528367-57529268",0,FALSE,"ATAC_overlap_only"
