"Probe_ID","Paper_DML","DeltaBeta_Heavy_minus_Light","Direction","Chromosome","Position"
"cg08979438_TC21","Obese_UP",0.082934421881037,"Higher_methylation_in_Heavy","chr9",63339100
"cg28165917_TC21","Lean_UP",-0.0650572597788533,"Higher_methylation_in_Light","chr10",9908312
"cg28186401_TC11","Obese_UP",0.0663082897879546,"Higher_methylation_in_Heavy","chr10",12941546
"cg28188077_BC21","Lean_UP",-0.0691790240971276,"Higher_methylation_in_Light","chr10",13091666
"cg28221569_TC21","Obese_UP",0.0592206813907608,"Higher_methylation_in_Heavy","chr10",18139587
"cg28225591_BC21","Obese_UP",0.077747716793886,"Higher_methylation_in_Heavy","chr10",18504356
"cg28226949_BC21","Obese_UP",0.0564836645435863,"Higher_methylation_in_Heavy","chr10",18643275
"cg28241153_TC21","Obese_UP",0.0551998236450942,"Higher_methylation_in_Heavy","chr10",20210954
"cg28248195_BC11","Obese_UP",0.0725249474264957,"Higher_methylation_in_Heavy","chr10",20954426
"cg28248634_TC21","Lean_UP",-0.0595032485159769,"Higher_methylation_in_Light","chr10",20991977
"cg28289608_TC21","Obese_UP",0.0557956596399973,"Higher_methylation_in_Heavy","chr10",25403119
"cg28314848_BC21","Lean_UP",-0.0529436133585156,"Higher_methylation_in_Light","chr10",29358867
"cg28408369_TC21","Obese_UP",0.0536364479625725,"Higher_methylation_in_Heavy","chr10",43136303
"cg28409561_BC21","Obese_UP",0.0587664658590353,"Higher_methylation_in_Heavy","chr10",43245647
"cg28422443_BC21","Obese_UP",0.0541136540872891,"Higher_methylation_in_Heavy","chr10",44492897
"cg28426146_BC11","Obese_UP",0.0530154235611381,"Higher_methylation_in_Heavy","chr10",44995876
"cg28456009_TC11","Obese_UP",0.0530669587693571,"Higher_methylation_in_Heavy","chr10",50902932
"cg28466722_TC21","Lean_UP",-0.0617645222009161,"Higher_methylation_in_Light","chr10",52692058
"cg28471587_TC21","Obese_UP",0.0607388048945569,"Higher_methylation_in_Heavy","chr10",53530269
"cg28537993_BC11","Obese_UP",0.0676204372802443,"Higher_methylation_in_Heavy","chr10",61831016
"cg28587407_BC21","Obese_UP",0.0507928113640639,"Higher_methylation_in_Heavy","chr10",67570584
"cg28617822_TC21","Obese_UP",0.0514194656043372,"Higher_methylation_in_Heavy","chr10",70243579
"cg28619252_TC21","Obese_UP",0.0543494432038253,"Higher_methylation_in_Heavy","chr10",70359410
"cg28631023_BC21","Obese_UP",0.0522372159661859,"Higher_methylation_in_Heavy","chr10",71381397
"cg28686447_TC11","Obese_UP",0.0673877714345445,"Higher_methylation_in_Heavy","chr10",77663985
"cg28686462_BC21","Obese_UP",0.0555477931788125,"Higher_methylation_in_Heavy","chr10",77664289
"cg28714295_TC11","Obese_UP",0.0609958216233388,"Higher_methylation_in_Heavy","chr10",80137369
"cg28719077_BC11","Obese_UP",0.0582421630210743,"Higher_methylation_in_Heavy","chr10",80342221
"cg28726127_BC11","Obese_UP",0.0535663038444665,"Higher_methylation_in_Heavy","chr10",80691431
