"Probe_ID","Paper_DML","DeltaBeta_Heavy_minus_Light","Direction","Chromosome","Position"
"cg29253316_TC11","Obese_UP",0.0509439947600667,"Higher_methylation_in_Heavy","chr11",12037746
"cg31119462_TC21","Obese_UP",0.0621320398818676,"Higher_methylation_in_Heavy","chr12",109528172
"cg31119463_TC21","Obese_UP",0.0968309463796877,"Higher_methylation_in_Heavy","chr12",109528253
"cg31119465_BC21","Obese_UP",0.0981338368528155,"Higher_methylation_in_Heavy","chr12",109528270
"cg31119469_BC21","Obese_UP",0.102125188470747,"Higher_methylation_in_Heavy","chr12",109528329
"cg33469142_BC11","Obese_UP",0.0783433672266852,"Higher_methylation_in_Heavy","chr15",72809596
"cg33469144_BC11","Obese_UP",0.0749945266928461,"Higher_methylation_in_Heavy","chr15",72809612
"cg33469160_BC11","Obese_UP",0.0948676492811132,"Higher_methylation_in_Heavy","chr15",72809821
"cg33469165_TC11","Obese_UP",0.0659261352089775,"Higher_methylation_in_Heavy","chr15",72809940
"cg37195538_BC11","Obese_UP",0.057129732945102,"Higher_methylation_in_Heavy","chr1",88277678
"cg37777811_BC11","Obese_UP",0.0883460201254833,"Higher_methylation_in_Heavy","chr1",171490834
"cg38973104_BC11","Obese_UP",0.0532726761900073,"Higher_methylation_in_Heavy","chr2",131561826
"cg39121124_TC21","Obese_UP",0.0833565598336537,"Higher_methylation_in_Heavy","chr2",152686735
"cg39121126_BC21","Obese_UP",0.0929554607748815,"Higher_methylation_in_Heavy","chr2",152686786
"cg39121127_BC21","Obese_UP",0.0807754897954611,"Higher_methylation_in_Heavy","chr2",152686810
"cg39121153_BC11","Obese_UP",0.0772860466572989,"Higher_methylation_in_Heavy","chr2",152687094
"cg39121155_TC21","Obese_UP",0.072118954686398,"Higher_methylation_in_Heavy","chr2",152687133
"cg39158863_TC11","Obese_UP",0.0535243935531885,"Higher_methylation_in_Heavy","chr2",156144106
"cg39382619_BC11","Obese_UP",0.0805519197354545,"Higher_methylation_in_Heavy","chr2",174298572
"cg44211895_TC11","Obese_UP",0.0511678133713147,"Higher_methylation_in_Heavy","chr7",6729683
"cg44313145_BC21","Obese_UP",0.0963693818358272,"Higher_methylation_in_Heavy","chr7",24082064
"cg44313157_BC11","Obese_UP",0.104998999512525,"Higher_methylation_in_Heavy","chr7",24082203
"cg45285143_BC21","Obese_UP",0.0569363531563956,"Higher_methylation_in_Heavy","chr7",142581662
"cg45285146_TC21","Obese_UP",0.0526106953300659,"Higher_methylation_in_Heavy","chr7",142581780
"cg45290643_BC21","Obese_UP",0.0929003421538924,"Higher_methylation_in_Heavy","chr7",143295788
"cg45290644_BC11","Obese_UP",0.0942742888231685,"Higher_methylation_in_Heavy","chr7",143295798
"cg45290647_BC21","Obese_UP",0.0955114866492172,"Higher_methylation_in_Heavy","chr7",143295858
"cg45290648_TC21","Obese_UP",0.107660449100376,"Higher_methylation_in_Heavy","chr7",143295871
"cg45290657_TC21","Obese_UP",0.0699155287470296,"Higher_methylation_in_Heavy","chr7",143296048
"cg45820004_BC11","Obese_UP",0.0538762643980763,"Higher_methylation_in_Heavy","chr8",70892439
"cg46030168_TC11","Obese_UP",0.0507412987197519,"Higher_methylation_in_Heavy","chr8",94913554
