"Probe_ID","Paper_DML","DeltaBeta_Heavy_minus_Light","Direction","Chromosome","Position","Human_chr","Human_start","Human_end","ATAC_exact_overlap","Number_of_overlapping_peaks","Overlapping_ATAC_peaks","Nearest_ATAC_peak","Distance_to_nearest_ATAC_peak_bp"
"cg29253316_TC11","Obese_UP",0.0509439947600667,"Higher_methylation_in_Heavy","chr11",12037746,"chr7",50793832,50793833,TRUE,1,"chr7:50793058-50793904","chr7:50793058-50793904",0
"cg37195538_BC11","Obese_UP",0.057129732945102,"Higher_methylation_in_Heavy","chr1",88277678,"chr2",233854768,233854769,TRUE,1,"chr2:233854184-233855083","chr2:233854184-233855083",0
"cg38973104_BC11","Obese_UP",0.0532726761900073,"Higher_methylation_in_Heavy","chr2",131561826,"chr20",4248597,4248598,FALSE,0,NA,"chr20:4221085-4221973",26623
"cg39121153_BC11","Obese_UP",0.0772860466572989,"Higher_methylation_in_Heavy","chr2",152687094,"chr20",31547321,31547322,TRUE,1,"chr20:31546850-31547735","chr20:31546850-31547735",0
"cg39121155_TC21","Obese_UP",0.072118954686398,"Higher_methylation_in_Heavy","chr2",152687133,"chr20",31547359,31547360,TRUE,1,"chr20:31546850-31547735","chr20:31546850-31547735",0
"cg39158863_TC11","Obese_UP",0.0535243935531885,"Higher_methylation_in_Heavy","chr2",156144106,"chr20",35699278,35699279,TRUE,1,"chr20:35698930-35699860","chr20:35698930-35699860",0
"cg39382619_BC11","Obese_UP",0.0805519197354545,"Higher_methylation_in_Heavy","chr2",174298572,"chr20",58853970,58853971,FALSE,0,NA,"chr20:58850532-58851397",2572
"cg44211895_TC11","Obese_UP",0.0511678133713147,"Higher_methylation_in_Heavy","chr7",6729683,"chr19",56840018,56840019,FALSE,0,NA,"chr19:56838729-56840010",7
"cg44313145_BC21","Obese_UP",0.0963693818358272,"Higher_methylation_in_Heavy","chr7",24082064,"chr19",44500451,44500452,TRUE,1,"chr19:44500020-44500936","chr19:44500020-44500936",0
"cg44313157_BC11","Obese_UP",0.104998999512525,"Higher_methylation_in_Heavy","chr7",24082203,"chr19",44500309,44500310,TRUE,1,"chr19:44500020-44500936","chr19:44500020-44500936",0
"cg45285146_TC21","Obese_UP",0.0526106953300659,"Higher_methylation_in_Heavy","chr7",142581780,"chr11",2003009,2003010,FALSE,0,NA,"chr11:1946787-1947675",55333
"cg45290643_BC21","Obese_UP",0.0929003421538924,"Higher_methylation_in_Heavy","chr7",143295788,"chr11",2699364,2699365,FALSE,0,NA,"chr11:2699761-2700571",395
"cg45290644_BC11","Obese_UP",0.0942742888231685,"Higher_methylation_in_Heavy","chr7",143295798,"chr11",2699374,2699375,FALSE,0,NA,"chr11:2699761-2700571",385
"cg45290647_BC21","Obese_UP",0.0955114866492172,"Higher_methylation_in_Heavy","chr7",143295858,"chr11",2699447,2699448,FALSE,0,NA,"chr11:2699761-2700571",312
"cg45290648_TC21","Obese_UP",0.107660449100376,"Higher_methylation_in_Heavy","chr7",143295871,"chr11",2699455,2699456,FALSE,0,NA,"chr11:2699761-2700571",304
"cg45290657_TC21","Obese_UP",0.0699155287470296,"Higher_methylation_in_Heavy","chr7",143296048,"chr11",2699580,2699581,FALSE,0,NA,"chr11:2699761-2700571",179
"cg45820004_BC11","Obese_UP",0.0538762643980763,"Higher_methylation_in_Heavy","chr8",70892439,"chr19",17872541,17872542,FALSE,0,NA,"chr19:17873924-17874751",1381
"cg46030168_TC11","Obese_UP",0.0507412987197519,"Higher_methylation_in_Heavy","chr8",94913554,"chr16",57529067,57529068,TRUE,1,"chr16:57528367-57529268","chr16:57528367-57529268",0
